"field","base","count","sample"
"hero_badge_2_label","hero_badge_2_label","29","app\Http\Controllers\AffiliatePortalController.php:179; app\Http\Controllers\AffiliatePortalController.php:205; app\Http\Controllers\WebsiteController.php:162; app\Http\Controllers\WebsiteController.php:227; app\Http\Controllers\WebsiteController.php:435; app\Http\Controllers\WebsiteController.php:546"
"hero_badge_2_sub","hero_badge_2_sub","27","app\Http\Controllers\AffiliatePortalController.php:180; app\Http\Controllers\AffiliatePortalController.php:206; app\Http\Controllers\WebsiteController.php:163; app\Http\Controllers\WebsiteController.php:228; app\Http\Controllers\WebsiteController.php:436; app\Http\Controllers\WebsiteController.php:547"
"hero_subtitle","hero_subtitle","49","app\Http\Controllers\AffiliatePortalController.php:176; app\Http\Controllers\AffiliatePortalController.php:202; app\Http\Controllers\EntertainerPortalController.php:155; app\Http\Controllers\EntertainerPortalController.php:175; app\Http\Controllers\EventController.php:102; app\Http\Controllers\EventController.php:155"
"hero_title","hero_title","50","app\Http\Controllers\AffiliatePortalController.php:175; app\Http\Controllers\AffiliatePortalController.php:201; app\Http\Controllers\EntertainerPortalController.php:154; app\Http\Controllers\EntertainerPortalController.php:174; app\Http\Controllers\EventController.php:101; app\Http\Controllers\EventController.php:154"
"host","host","172","app\Http\Controllers\AffiliateAdminController.php:269; app\Http\Controllers\AffiliateAdminController.php:275; app\Http\Controllers\AffiliateRegistrationController.php:147; app\Http\Controllers\AffiliateRegistrationController.php:153; app\Http\Controllers\CustomInvoiceController.php:336; app\Http\Controllers\CustomInvoiceController.php:353"
"lat","lat","3787","app\Console\Commands\EnsureWebsiteAdminUsers.php:77; app\Console\Commands\SeedReports.php:60; app\Http\Controllers\AdminController.php:20; app\Http\Controllers\AdminController.php:41; app\Http\Controllers\AffiliateAdminController.php:38; app\Http\Controllers\AffiliateAdminController.php:47"
"location","location","1436","app\Console\Commands\SeedReports.php:230; app\Console\Commands\SeedReports.php:231; app\Http\Controllers\AffiliatePortalController.php:183; app\Http\Controllers\AffiliatePortalController.php:217; app\Http\Controllers\AffiliatePublicController.php:75; app\Http\Controllers\AffiliatePublicController.php:109"
"logo","logo","717","app\Http\Controllers\AffiliatePublicController.php:108; app\Http\Controllers\AuthController.php:76; app\Http\Controllers\AuthController.php:89; app\Http\Controllers\AuthController.php:219; app\Http\Controllers\AuthController.php:221; app\Http\Controllers\AuthController.php:223"
"logo_height","logo_height","16","app\Http\Controllers\EventController.php:112; app\Http\Controllers\EventController.php:183; app\Http\Controllers\EventController.php:270; app\Http\Controllers\EventController.php:351; app\Http\Controllers\WebsiteController.php:277; app\Http\Controllers\WebsiteController.php:561"
"logo_width","logo_width","18","app\Http\Controllers\EventController.php:111; app\Http\Controllers\EventController.php:182; app\Http\Controllers\EventController.php:269; app\Http\Controllers\EventController.php:350; app\Http\Controllers\WebsiteController.php:276; app\Http\Controllers\WebsiteController.php:560"
"long","long","175","app\Http\Controllers\AffiliateAdminController.php:244; app\Http\Controllers\AuthController.php:40; app\Http\Controllers\CustomInvoiceController.php:383; app\Http\Controllers\FeedPostController.php:350; app\Http\Controllers\PackageController.php:917; app\Http\Controllers\PackageController.php:946"
